date,attendance
New Year's Eve,56
1-Jan-23,86
8-Jan-23,120
15-Jan-23,149
22-Jan-23,136
29-Jan-23,127
5-Feb-23,124
12-Feb-23,126
19-Feb-23,122
26-Feb-23,133
5-Mar-23,127
12-Mar-23,101
19-Mar-23,112
26-Mar-23,115
2-Apr-23,136
Good Friday,107
9-Apr-23,173
16-Apr-23,140
23-Apr-23,142
30-Apr-23,141
7-May-23,135
15-May-23,119
22-May-23,92
29-May-23,94
4-Jun-23,109
11-Jun-23,110
18-Jun-23,122
25-Jun-23,120
2-Jul-23,117
9-Jul-23,112
16-Jul-23,126
23-Jul-23,112
30-Jul-23,140
6-Aug-23,105
13-Aug-23,125
20-Aug-23,105
