date,attendance
3-Jul-22,73
10-Jul-22,86
17-Jul-22,83
24-Jul-22,82
31-Jul-22,71
7-Aug-22,98
14-Aug-22,98
21-Aug-22,
28-Aug-22,77
4-Sep-22,93
11-Sep-22,106
18-Sep-22,100
25-Sep-22,
2-Oct-22,106
9-Oct-22,118
Thanksgiving,50
16-Oct-22,
23-Oct-22,99
30-Oct-22,120
6-Nov-22,
13-Nov-22,120
20-Nov-22,101
4-Dec-22,103
11-Dec-22,139
18-Dec-22,146
Candlelight,194
25-Dec-22,153
New Year's Eve,56
1-Jan-23,86
8-Jan-23,120
15-Jan-23,149
22-Jan-23,136
29-Jan-23,127
5-Feb-23,124
12-Feb-23,126
19-Feb-23,122
26-Feb-23,133
5-Mar-23,127
12-Mar-23,101
19-Mar-23,112
26-Mar-23,115
2-Apr-23,136
Good Friday,107
9-Apr-23,173
16-Apr-23,140
23-Apr-23,142
30-Apr-23,141
7-May-23,135
15-May-23,119
22-May-23,92
29-May-23,94
4-Jun-23,109
11-Jun-23,110
18-Jun-23,122
25-Jun-23,120
2-Jul-23,117
9-Jul-23,112
16-Jul-23,126
23-Jul-23,112
30-Jul-23,140
6-Aug-23,105
